event_date,daily_trx
2021-02-08,6069
2022-11-10,41772
2023-10-31,95564
2020-08-14,3059
2020-04-13,1501
2020-08-05,3661
2020-12-02,7852
2019-10-25,3129
2020-10-25,2242
2020-07-19,1679
2023-05-25,93141
2021-05-28,14750
2020-01-26,1704
2023-04-17,46426
2022-09-14,39755
2021-07-26,9351
2022-01-04,13067
2021-12-18,9050
2020-03-10,2712
2024-02-04,49023
2023-05-04,58744
2022-03-31,13271
2023-09-17,29940
2022-08-13,29338
2020-10-31,5692
2024-01-18,57595
2022-03-19,5125
2023-12-15,97441
2022-06-25,78186
2020-04-22,1547
2021-05-22,5352
2022-02-09,9217
2021-10-27,17792
2023-12-17,53106
2022-07-12,50630
2020-08-27,4804
2023-03-11,31061
2020-09-26,4040
2020-10-13,3364
2020-02-04,3053
2021-11-18,5619
2022-05-02,17234
2023-06-07,47096
2023-08-18,39955
2019-11-09,2838
2021-03-16,4560
2022-01-27,17695
2021-05-26,9766
2021-11-05,9797
2021-01-09,4840
2020-05-24,1499
2022-11-29,81108
2023-08-16,43015
2020-02-24,2795
2022-12-11,24773
2023-01-01,23014
2019-12-19,2796
2022-03-04,9909
2019-09-25,1934
2020-09-09,3285
2020-05-09,1349
2021-02-27,7313
2024-02-02,111984
2020-12-13,2864
2022-07-27,95879
2023-09-23,96756
2020-11-17,3261
2021-08-12,6989
2022-05-21,6028
2024-01-16,44322
2022-12-24,41327
2020-08-06,3391
2021-12-09,7450
2021-08-03,11807
2020-01-27,2587
2020-05-17,1477
2019-09-16,1469
2024-02-17,49528
2021-11-16,8509
2019-11-13,2560
2020-03-12,1542
2023-08-02,74483
2023-07-18,40251
2022-06-10,8415
2020-10-11,2059
2020-09-28,4847
2021-02-10,6384
2021-02-23,7726
2022-06-12,5998
2020-09-30,5106
2021-05-24,7268
2022-07-16,28703
2019-09-12,1585
2020-01-05,1829
2022-10-07,38460
2021-04-28,11257
2023-06-09,75268
2022-12-28,64740
2020-10-29,4900
2022-08-30,83212
2019-11-15,2688
2020-11-28,4901
2023-05-06,39282
2023-01-12,38037
2022-08-28,75047
2021-12-03,10715
2023-08-22,62497
2020-11-26,5088
2021-12-20,10880
2019-10-27,1524
2023-05-19,66901
2022-05-19,6484
2020-01-03,2240
2023-12-02,70832
2023-02-07,53955
2022-05-30,17278
2020-02-10,2933
2021-05-30,6946
2023-10-21,42442
2021-01-18,5347
2021-11-03,11737
2023-11-24,146176
2022-07-03,37170
2023-03-04,41109
2023-09-25,101794
2021-12-28,14488
2024-01-27,133009
2023-10-04,70395
2022-09-01,46118
2022-09-16,57014
2021-07-24,5925
2021-03-01,10246
2021-02-06,5106
2021-11-07,6397
2022-03-02,14728
2021-05-04,12606
2022-04-30,13594
2024-01-05,70726
2022-08-17,42702
2022-07-29,95869
2020-11-15,2558
